ApplicantName,CGPA,AttemptCount,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,OtherModules,PlagiarismHistory,CW1,CW2,ESE,Online C,Online O,Played,Paused,Likes,Segment,Result
Student 71,Adequate,Low,No,No,No,No,Yes,No,High,Low,Good,Good,Fail,Fair,Fair,5,0,1,4,Pass
Student 72,Adequate,Low,No,No,No,No,No,No,High,Low,Very Good,Fair,Fail,Good,Good,2,0,1,1,Pass
Student 73,Good,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Adequate,Adequate,Fair,1,0,0,0,Pass
Student 74,Adequate,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Poor,Good,1,0,1,0,Pass
Student 75,Good,Low,No,No,No,No,No,No,High,Low,Good,Fair,Fail,Good,Fair,1,0,1,0,Pass
Student 76,Very Good,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Very Good,Fair,Good,2,0,0,1,Pass
Student 77,Adequate,Low,No,No,Yes,No,Yes,Yes,High,Low,Fail,Fail,Excellent,Good,Poor,1,0,1,0,Pass
Student 78,Adequate,Low,No,No,No,No,No,No,High,Low,Fair,Good,Fail,Poor,Good,1,0,0,0,Pass
Student 79,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Good,Adequate,Good,Good,1,0,1,0,Pass
Student 80,Very Good,Low,No,No,No,No,No,No,High,Low,Good,Excellent,Adequate,Excellent,Fair,1,0,1,0,Fail
Student 81,Adequate,Low,No,No,Yes,No,No,No,High,Low,Adequate,Fair,Adequate,Good,Fair,1,0,0,0,Pass
Student 82,Adequate,Low,No,No,Yes,No,No,No,High,Low,Fair,Very Good,Fail,Fair,Good,1,0,1,0,Pass
Student 83,Fair,Low,No,No,No,No,No,No,High,Low,Good,Adequate,Adequate,Good,Good,3,1,2,2,Pass
Student 84,Excellent,Low,No,No,No,No,No,No,High,Low,Very Good,Excellent,Fair,Good,Fair,1,0,1,0,Pass
Student 85,Good,Low,No,No,No,No,No,No,High,Low,Adequate,Good,Fail,Good,Fair,2,2,1,1,Pass
Student 86,Very Good,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Fail,Very Good,Adequate,3,1,1,2,Pass
Student 87,Fair,Low,No,No,No,Yes,No,No,Medium,Low,Fair,Good,Fail,Good,Fair,8,13,0,7,Fail
Student 88,Adequate,Low,No,No,No,No,Yes,No,High,Low,Good,Very Good,Fail,Good,Very Good,5,3,0,4,Pass
Student 89,Adequate,Low,No,No,No,Yes,No,No,Medium,Low,Good,Very Good,Fail,Very Good,Adequate,5,7,1,4,Pass
Student 90,Fair,Low,No,Yes,No,No,Yes,No,Medium,Low,Fail,Fail,Very Good,Good,Fair,1,7,2,0,Pass
Student 91,Adequate,High,No,Yes,Yes,No,Yes,No,Low,Low,Fail,Fail,Very Good,Fair,Very Good,1,1,0,0,Pass
Student 92,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Very Good,Good,Very Good,1,0,1,0,Pass
Student 93,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Good,Poor,Poor,1,1,1,0,Pass
Student 94,Good,Medium,No,No,No,No,Yes,No,High,Low,Fail,Fail,Good,Poor,Good,6,7,0,5,Pass
Student 95,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Good,Poor,Poor,1,0,1,0,Pass
Student 96,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Good,Good,Good,3,0,1,2,Pass
Student 97,Good,Low,No,Yes,No,No,Yes,No,High,Low,Fail,Fail,Good,Very Good,Good,1,0,1,0,Pass
Student 98,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Good,Poor,1,0,0,0,Pass
Student 99,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fair,Excellent,Very Good,1,0,1,0,Pass
Student 100,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Good,Poor,1,6,1,0,Fail
Student 101,Fair,Low,No,No,Yes,No,Yes,No,High,Low,Fail,Fail,Fair,Good,Fair,1,4,1,0,Pass
Student 102,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Very Good,Good,1,3,1,0,Pass
Student 103,Good,Medium,No,No,No,No,Yes,No,High,Low,Fail,Fail,Fair,Fair,Adequate,1,4,1,0,Pass
Student 104,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Excellent,Very Good,1,5,1,0,Pass
Student 105,Good,Low,No,No,No,No,Yes,No,High,Low,Fail,Fail,Fair,Poor,Excellent,1,5,1,0,Pass
Student 106,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Excellent,Excellent,1,5,1,0,Pass
Student 107,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Very Good,Very Good,1,2,1,0,Pass
Student 108,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Good,Good,2,0,2,1,Pass
Student 109,Excellent,Medium,No,Yes,No,No,Yes,No,Medium,Low,Fail,Fail,Fair,Very Good,Very Good,1,0,1,0,Pass
Student 110,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Fair,Good,1,1,0,0,Pass
Student 111,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Very Good,Very Good,1,1,0,0,Pass
Student 112,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Good,Good,5,0,1,4,Fail
Student 113,Adequate,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Fair,Excellent,Fair,2,0,0,1,Fail
Student 114,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Good,Excellent,1,0,1,0,Pass
Student 115,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Good,Very Good,1,0,1,0,Pass
Student 116,Adequate,Low,No,No,No,No,Yes,Yes,High,Low,Fail,Fail,Adequate,Fair,Fair,1,0,0,0,Pass
Student 117,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Poor,2,0,0,1,Fail
Student 118,Adequate,Low,No,No,Yes,No,No,No,High,Low,Fail,Fail,Adequate,Good,Good,1,0,1,0,Fail
Student 119,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Good,Good,1,0,1,0,Pass
Student 120,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Good,Fair,1,0,0,0,Pass
Student 121,Fair,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Adequate,Very Good,Good,1,0,1,0,Pass
Student 122,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Poor,Very Good,1,0,0,0,Pass
Student 123,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Excellent,1,0,0,0,Pass
Student 124,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Very Good,3,1,2,2,Pass
Student 125,Adequate,Low,No,No,No,No,No,No,High,Low,Good,Fair,Adequate,Good,Good,1,0,0,0,Fail
Student 126,Good,Low,No,No,No,Yes,No,No,High,Low,Fair,Fair,Adequate,Good,Good,2,2,1,1,Pass
Student 127,Fair,Low,No,No,No,Yes,No,No,Medium,Low,Fair,Very Good,Excellent,Very Good,Very Good,3,1,1,2,Fail
Student 128,Fair,Low,No,No,No,No,No,No,High,Low,Good,Adequate,Adequate,Very Good,Good,8,13,0,7,Pass
Student 129,Adequate,Low,No,No,No,No,Yes,No,High,Low,Good,Fair,Fair,Excellent,Good,5,3,0,4,Pass
Student 130,Good,Low,No,No,No,No,No,No,High,Low,Fail,Adequate,Good,Fair,Good,5,7,1,4,Pass
Student 131,Good,Low,No,No,No,No,No,No,High,Low,Fair,Excellent,Good,Excellent,Very Good,1,7,2,0,Fail
Student 132,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fair,Very Good,Good,Very Good,Very Good,1,1,0,0,Pass
Student 133,Fair,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Adequate,Good,Good,1,0,0,0,Fail
Student 134,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Adequate,Fair,Very Good,Fair,1,1,1,0,Pass
Student 135,Fair,Low,No,No,No,No,No,No,Low,Low,Very Good,Very Good,Adequate,Good,Excellent,6,7,0,5,Pass
Student 136,Good,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Fail,Good,Very Good,1,0,1,0,Pass
Student 137,Adequate,Medium,No,No,Yes,No,Yes,No,Low,Low,Good,Excellent,Adequate,Good,Poor,3,0,1,2,Fail
Student 138,Fair,Low,No,No,No,No,No,No,Medium,Low,Fair,Very Good,Good,Good,Good,1,0,1,0,Pass
Student 139,Fair,Low,No,No,No,No,Yes,No,Low,Low,Fair,Good,Adequate,Good,Good,1,0,0,0,Pass
Student 140,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Very Good,Good,1,0,0,0,Pass
Student 141,Fair,Low,No,No,No,No,No,No,High,Low,Adequate,Fair,Fail,Good,Good,1,6,0,0,Pass
Student 142,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Fail,Good,Poor,1,4,0,0,Pass
Student 143,Good,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Fail,Very Good,Good,1,3,1,0,Pass
Student 144,Fair,Low,No,No,No,No,Yes,No,Low,Low,Very Good,Very Good,Very Good,Good,Very Good,1,4,0,0,Pass
Student 145,Very Good,Low,No,No,No,No,No,No,Low,Low,Adequate,Excellent,Fair,Good,Very Good,1,5,0,0,Fail
Student 146,Good,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Adequate,Good,Poor,1,5,0,0,Pass
Student 147,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Adequate,Good,Fair,1,5,0,0,Pass
Student 148,Adequate,Low,No,No,Yes,No,Yes,Yes,High,Low,Adequate,Adequate,Adequate,Good,Poor,1,2,0,0,Pass
Student 149,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Good,2,0,2,1,Pass
Student 150,Adequate,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Fail,Good,Fair,1,0,0,0,Pass
Student 151,Adequate,High,No,No,Yes,No,Yes,No,High,Low,Very Good,Very Good,Fair,Very Good,Very Good,1,1,0,0,Pass
Student 152,Adequate,Medium,No,No,No,No,Yes,No,Medium,Low,Adequate,Adequate,Good,Good,Poor,1,1,0,0,Pass
Student 153,Good,Low,No,No,No,No,No,No,High,Low,Good,Good,Adequate,Good,Adequate,5,0,1,4,Pass
Student 154,Adequate,Low,No,No,No,No,Yes,Yes,High,Low,Very Good,Very Good,Fair,Excellent,Very Good,2,0,0,1,Pass
Student 155,Adequate,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Fail,Fair,Fair,1,0,0,0,Pass
Student 156,Adequate,Low,No,No,No,No,No,No,Low,Low,Fair,Fair,Fair,Very Good,Excellent,1,0,0,0,Pass
Student 157,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Good,Good,1,0,0,0,Pass
Student 158,Adequate,Low,No,No,No,No,Yes,Yes,Medium,Low,Adequate,Adequate,Adequate,Good,Adequate,2,0,0,1,Pass
Student 159,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Very Good,Very Good,1,0,0,0,Pass
Student 160,Adequate,Low,No,No,No,No,No,No,High,Low,Good,Fair,Adequate,Good,Good,1,0,0,0,Pass
Student 161,Adequate,Low,No,No,No,No,Yes,No,Low,Low,Fair,Fair,Adequate,Good,Good,1,0,0,0,Pass
Student 162,Adequate,Low,No,No,No,No,No,No,High,Low,Fair,Very Good,Excellent,Very Good,Very Good,1,0,0,0,Pass
Student 163,Good,Low,No,No,No,No,No,No,Low,Low,Good,Adequate,Adequate,Very Good,Good,1,0,0,0,Pass
Student 164,Adequate,Low,No,No,No,No,No,No,High,Low,Good,Fair,Fair,Excellent,Good,1,0,0,0,Pass
Student 165,Very Good,Low,No,No,No,No,Yes,No,Low,Low,Fail,Adequate,Good,Fair,Good,3,1,2,2,Pass
Student 166,Fair,Low,No,No,No,No,No,No,Low,Low,Fair,Very Good,Good,Excellent,Very Good,1,0,0,0,Pass
Student 167,Fair,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Adequate,Very Good,Very Good,2,2,1,1,Pass
Student 168,Adequate,Low,No,No,No,No,No,No,Low,Low,Fair,Adequate,Fair,Good,Good,3,1,1,2,Pass
Student 169,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Very Good,Very Good,Adequate,Very Good,Fair,8,13,0,7,Fail
Student 170,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Very Good,Excellent,Good,Good,Excellent,5,3,0,4,Pass
Student 171,Adequate,Low,No,No,No,No,Yes,No,High,Low,Good,Excellent,Adequate,Good,Very Good,5,7,1,4,Pass
Student 172,Adequate,Low,No,No,No,No,No,No,High,Low,Fair,Very Good,Adequate,Good,Poor,1,7,2,0,Pass
Student 173,Fair,Low,No,No,No,No,Yes,No,High,Low,Fair,Good,Adequate,Good,Good,1,1,0,0,Pass
Student 174,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Fail,Good,Good,1,0,0,0,Pass
Student 175,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Fair,Fail,Very Good,Good,1,1,1,0,Pass
Student 176,Fair,Low,No,No,No,No,Yes,No,Low,Low,Adequate,Adequate,Fair,Good,Good,6,7,0,5,Fail
Student 177,Adequate,Low,No,No,No,No,Yes,No,Low,Low,Good,Very Good,Fail,Good,Poor,1,0,1,0,Pass
Student 178,Adequate,Low,No,No,No,No,Yes,No,Low,Low,Very Good,Very Good,Very Good,Very Good,Good,3,0,1,2,Pass
Student 179,Very Good,Low,No,No,No,No,No,No,Low,Low,Adequate,Excellent,Fair,Good,Very Good,1,0,1,0,Pass
Student 180,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Good,Very Good,Adequate,Good,Very Good,1,0,0,0,Pass
Student 181,Fair,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fair,Excellent,Poor,1,0,0,0,Pass
Student 182,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Fair,Fail,Good,Poor,1,6,0,0,Pass
Student 183,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Good,Fail,Very Good,Poor,1,4,0,0,Pass
Student 184,Fair,Low,No,No,No,No,No,No,Low,Low,Very Good,Very Good,Fail,Fair,Good,1,3,1,0,Pass
Student 185,Good,Low,No,No,No,No,No,No,Low,Low,Very Good,Adequate,Fair,Fair,Poor,1,4,0,0,Pass
Student 186,Adequate,High,No,No,Yes,No,No,No,Medium,Low,Good,Good,Fail,Good,Adequate,1,5,0,0,Fail
Student 187,Good,Low,No,No,No,No,No,No,Low,Low,Good,Excellent,Adequate,Good,Poor,1,5,0,0,Pass
Student 188,Very Good,Low,No,No,No,No,No,No,High,Low,Excellent,Very Good,Good,Excellent,Poor,1,5,0,0,Pass
Student 189,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Excellent,Excellent,Excellent,1,2,0,0,Pass
Student 190,Adequate,Medium,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Excellent,Good,Very Good,2,0,2,1,Pass
Student 191,Adequate,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Excellent,Fair,Very Good,1,0,0,0,Pass
Student 192,Adequate,Low,No,No,Yes,No,No,No,High,Low,Fail,Fail,Excellent,Fair,Very Good,1,1,0,0,Pass
Student 193,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Excellent,Good,Excellent,1,1,0,0,Pass
Student 194,Excellent,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Very Good,Good,Poor,3,1,2,2,Pass
Student 195,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Very Good,Very Good,Very Good,1,0,0,0,Pass
Student 196,Adequate,Medium,No,No,No,No,Yes,Yes,Medium,Low,Fail,Fail,Very Good,Excellent,Excellent,2,2,1,1,Pass
Student 197,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Very Good,Good,Excellent,3,1,1,2,Pass
Student 198,Adequate,Medium,No,Yes,Yes,No,Yes,Yes,Medium,Low,Fail,Fail,Very Good,Very Good,Very Good,8,13,1,7,Pass
Student 199,Adequate,Medium,No,No,No,No,Yes,Yes,High,Low,Fail,Fail,Very Good,Excellent,Excellent,5,3,0,4,Pass
Student 200,Adequate,Low,No,No,Yes,No,No,No,High,Low,Fail,Fail,Very Good,Good,Good,5,7,1,4,Pass
Student 201,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Good,Excellent,Good,1,7,2,0,Pass
Student 202,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Good,Fair,Fair,1,1,1,0,Pass
Student 203,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Good,Excellent,Excellent,1,0,1,0,Pass
Student 204,Fair,Medium,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Good,Poor,Good,1,1,1,0,Pass
Student 205,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Excellent,Adequate,6,7,0,5,Pass
Student 206,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fair,Poor,Excellent,1,0,1,0,Pass
Student 207,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Very Good,Good,3,0,1,2,Pass
Student 208,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Adequate,Good,5,0,1,3,Pass
Student 209,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Very Good,1,4,3,3,Pass
Student 210,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Good,Poor,5,0,2,5,Fail
Student 211,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Fair,5,0,1,3,Fail
Student 212,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Excellent,4,0,2,3,Pass
Student 213,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Good,Good,5,1,3,3,Fail
Student 214,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Excellent,Fair,0,2,0,3,Fail
