ModuleCode,ModuleTitle,SessionName,ApplicantName,CGPA,CGPA,AttemptCount,AttemptCount,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,OtherModules,OtherModules,PlagiarismHistory,PlagiarismHistory,CW1,CW1,CW2,CW2,ESE,ESE,Online C,Online C,Online O,Online O,Played,Paused,Likes,Segment,Result
Module 5,Course 5,Session-B,Student 66,Fair,2.25,1,Low,No,No,No,No,No,No,3,High,0,Low,80,Very Good,81,Very Good,37,Fail,78,Fair,89,Fair,1,2,0,0,Pass
Module 5,Course 5,Session-B,Student 67,Very Good,3.5,1,Low,No,No,No,No,No,No,3,High,0,Low,89,Excellent,89,Excellent,96,Excellent,280,Very Good,326,Excellent,2,0,2,1,Pass
Module 5,Course 5,Session-B,Student 68,Good,2.75,1,Low,No,No,No,No,No,No,3,High,0,Low,74,Good,79,Good,36,Fail,112,Good,140,Good,1,0,0,0,Pass
Module 5,Course 5,Session-B,Student 69,Adequate,1.75,1,Low,No,No,No,No,Yes,No,3,High,0,Low,82,Very Good,81,Very Good,24,Fail,168,Good,40,Adequate,1,1,0,0,Pass
Module 5,Course 5,Session-B,Student 70,Adequate,2,1,Low,No,No,No,No,Yes,No,2,Medium,0,Low,75.05,Good,68.4,Fair,45,Fail,138,Good,94,Fair,1,1,0,0,Pass
Module 5,Course 5,Session-B,Student 71,Adequate,2,1,Low,No,No,No,No,Yes,No,3,High,1,Low,76,Good,75,Good,44,Fail,56,Fair,86,Fair,5,0,1,4,Pass
Module 5,Course 5,Session-B,Student 72,Adequate,2,1,Low,No,No,No,No,No,No,3,High,0,Low,83,Very Good,71,Fair,48,Fail,143,Good,180,Good,2,0,1,1,Pass
Module 5,Course 5,Session-A,Student 73,Good,2.75,1,Low,No,No,No,No,No,No,3,High,0,Low,79,Good,84,Very Good,59,Adequate,48,Adequate,87,Fair,1,0,0,0,Pass
Module 5,Course 5,Session-A,Student 74,Adequate,2,1,Low,No,No,No,No,No,No,3,High,0,Low,68,Fair,73,Fair,50,Adequate,21,Poor,121,Good,1,0,1,0,Pass
Module 5,Course 5,Session-A,Student 75,Good,3,1,Low,No,No,No,No,No,No,3,High,0,Low,77,Good,73,Fair,38,Fail,166,Good,92,Fair,1,0,1,0,Pass
Module 5,Course 5,Session-A,Student 76,Very Good,3.25,1,Low,No,No,No,No,No,No,3,High,0,Low,77,Good,86,Very Good,82,Very Good,91,Fair,161,Good,2,0,0,1,Pass
Module 5,Course 5,Session-A,Student 77,Adequate,2,1,Low,No,No,Yes,No,Yes,Yes,3,High,1,Low,49.5,Fail,0,Fail,Absent,Excellent,117,Good,0,Poor,1,0,1,0,Pass
Module 5,Course 5,Session-A,Student 78,Adequate,2,1,Low,No,No,No,No,No,No,3,High,1,Low,66,Fair,76,Good,29,Fail,6,Poor,142,Good,1,0,0,0,Pass
Module 5,Course 5,Session-A,Student 79,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,72,Fair,75,Good,61,Adequate,139,Good,130,Good,1,0,1,0,Pass
Module 5,Course 5,Session-A,Student 80,Very Good,3.5,1,Low,No,No,No,No,No,No,3,High,0,Low,75,Good,87,Excellent,64,Adequate,422,Excellent,86,Fair,1,0,1,0,Fail
Module 5,Course 5,Session-A,Student 81,Adequate,1.75,1,Low,No,No,Yes,No,No,No,3,High,0,Low,61,Adequate,70,Fair,61,Adequate,167,Good,83,Fair,1,0,0,0,Pass
Module 5,Course 5,Session-A,Student 82,Adequate,1.75,1,Low,No,No,Yes,No,No,No,3,High,1,Low,70,Fair,83,Very Good,17,Fail,60,Fair,117,Good,1,0,1,0,Pass
Module 5,Course 5,Session-A,Student 83,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,74,Good,65,Adequate,62,Adequate,182,Good,100,Good,3,1,2,2,Pass
Module 5,Course 5,Session-A,Student 84,Excellent,3.75,1,Low,No,No,No,No,No,No,3,High,0,Low,81,Very Good,88,Excellent,66,Fair,115,Good,72,Fair,1,0,1,0,Pass
Module 5,Course 5,Session-A,Student 85,Good,2.75,1,Low,No,No,No,No,No,No,3,High,0,Low,64,Adequate,77,Good,49,Fail,130,Good,77,Fair,2,2,1,1,Pass
Module 5,Course 5,Session-A,Student 86,Very Good,3.25,1,Low,No,No,No,No,No,No,3,High,0,Low,78,Good,84,Very Good,25,Fail,269,Very Good,44,Adequate,3,1,1,2,Pass
Module 5,Course 5,Session-A,Student 87,Fair,2.25,1,Low,No,No,No,Yes,No,No,2,Medium,1,Low,73,Fair,74,Good,39,Fail,123,Good,52,Fair,8,13,0,7,Fail
Module 5,Course 5,Session-A,Student 88,Adequate,1.75,1,Low,No,No,No,No,Yes,No,3,High,0,Low,78,Good,80,Very Good,14,Fail,126,Good,261,Very Good,5,3,0,4,Pass
Module 5,Course 5,Session-A,Student 89,Adequate,2,1,Low,No,No,No,Yes,No,No,2,Medium,1,Low,79,Good,80,Very Good,30,Fail,216,Very Good,43,Adequate,5,7,1,4,Pass
Module 4,Course 4,Session-A,Student 90,Fair,2.25,1,Low,No,Yes,No,No,Yes,No,2,Medium,1,Low,45.25,Fail,41,Fail,86,Very Good,104,Good,85,Fair,1,7,2,0,Pass
Module 4,Course 4,Session-A,Student 91,Adequate,2,3,High,No,Yes,Yes,No,Yes,No,1,Low,0,Low,40,Fail,46,Fail,86,Very Good,73,Fair,240,Very Good,1,1,0,0,Pass
Module 4,Course 4,Session-A,Student 92,Good,2.75,1,Low,No,No,No,No,No,No,2,Medium,1,Low,35.75,Fail,44.75,Fail,81,Very Good,113,Good,240,Very Good,1,0,1,0,Pass
Module 4,Course 4,Session-A,Student 93,Good,3,1,Low,No,No,No,No,No,No,3,High,0,Low,45.75,Fail,33.5,Fail,79,Good,24,Poor,19,Poor,1,1,1,0,Pass
Module 4,Course 4,Session-A,Student 94,Good,2.75,2,Medium,No,No,No,No,Yes,No,3,High,1,Low,40,Fail,38,Fail,78,Good,25,Poor,169,Good,6,7,0,5,Pass
Module 4,Course 4,Session-A,Student 95,Excellent,4,1,Low,No,No,No,No,No,No,3,High,0,Low,44.75,Fail,33.5,Fail,78,Good,5,Poor,3,Poor,1,0,1,0,Pass
Module 4,Course 4,Session-A,Student 96,Excellent,4,1,Low,No,No,No,No,No,No,3,High,0,Low,40.5,Fail,36.5,Fail,77,Good,113,Good,196,Good,3,0,1,2,Pass
Module 4,Course 4,Session-A,Student 97,Good,2.75,1,Low,No,Yes,No,No,Yes,No,3,High,0,Low,42,Fail,32,Fail,74,Good,246,Very Good,195,Good,1,0,1,0,Pass
Module 4,Course 4,Session-A,Student 98,Very Good,3.25,1,Low,No,No,No,No,No,No,3,High,0,Low,41.75,Fail,30,Fail,72,Fair,123,Good,27,Poor,1,0,0,0,Pass
Module 4,Course 4,Session-A,Student 99,Good,3,1,Low,No,No,No,No,No,No,2,Medium,0,Low,42,Fail,29,Fail,71,Fair,304,Excellent,233,Very Good,1,0,1,0,Pass
Module 4,Course 4,Session-A,Student 100,Excellent,4,1,Low,No,No,No,No,No,No,3,High,0,Low,37.25,Fail,33.5,Fail,71,Fair,134,Good,0,Poor,1,6,1,0,Fail
Module 4,Course 4,Session-A,Student 101,Fair,2.5,1,Low,No,No,Yes,No,Yes,No,3,High,0,Low,39.03,Fail,30.5,Fail,70,Fair,167,Good,55,Fair,1,4,1,0,Pass
Module 4,Course 4,Session-A,Student 102,Excellent,4,1,Low,No,No,No,No,No,No,3,High,0,Low,33.25,Fail,36.5,Fail,70,Fair,299,Very Good,139,Good,1,3,1,0,Pass
Module 4,Course 4,Session-A,Student 103,Good,3,2,Medium,No,No,No,No,Yes,No,3,High,1,Low,37.75,Fail,32,Fail,70,Fair,66,Fair,30,Adequate,1,4,1,0,Pass
Module 4,Course 4,Session-A,Student 104,Excellent,4,1,Low,No,No,No,No,No,No,3,High,0,Low,45,Fail,23.5,Fail,69,Fair,319,Excellent,264,Very Good,1,5,1,0,Pass
Module 4,Course 4,Session-A,Student 105,Good,2.75,1,Low,No,No,No,No,Yes,No,3,High,0,Low,41.25,Fail,28,Fail,69,Fair,19,Poor,394,Excellent,1,5,1,0,Pass
Module 4,Course 4,Session-A,Student 106,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,38.5,Fail,30.5,Fail,69,Fair,345,Excellent,363,Excellent,1,5,1,0,Pass
Module 4,Course 4,Session-A,Student 107,Very Good,3.25,1,Low,No,No,No,No,No,No,3,High,0,Low,34,Fail,34,Fail,68,Fair,209,Very Good,259,Very Good,1,2,1,0,Pass
Module 4,Course 4,Session-A,Student 108,Fair,2.25,1,Low,No,No,No,No,No,No,3,High,0,Low,43.75,Fail,24,Fail,68,Fair,145,Good,151,Good,2,0,2,1,Pass
Module 4,Course 4,Session-A,Student 109,Excellent,3.75,2,Medium,No,Yes,No,No,Yes,No,2,Medium,0,Low,37.5,Fail,30,Fail,68,Fair,214,Very Good,221,Very Good,1,0,1,0,Pass
Module 4,Course 4,Session-A,Student 110,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,41,Fail,27.25,Fail,68,Fair,94,Fair,172,Good,1,1,0,0,Pass
Module 4,Course 4,Session-A,Student 111,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,35.25,Fail,32,Fail,67,Fair,212,Very Good,273,Very Good,1,1,0,0,Pass
Module 4,Course 4,Session-A,Student 112,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,38,Fail,27.75,Fail,66,Fair,171,Good,115,Good,5,0,1,4,Fail
Module 4,Course 4,Session-A,Student 113,Adequate,2,1,Low,No,No,No,No,No,No,1,Low,0,Low,38.25,Fail,27.5,Fail,66,Fair,328,Excellent,80,Fair,2,0,0,1,Fail
Module 4,Course 4,Session-A,Student 114,Adequate,2,1,Low,No,No,No,No,No,No,3,High,0,Low,41.55,Fail,23,Fail,65,Adequate,187,Good,311,Excellent,1,0,1,0,Pass
Module 4,Course 4,Session-A,Student 115,Adequate,2,1,Low,No,No,No,No,No,No,3,High,0,Low,40,Fail,24,Fail,64,Adequate,115,Good,248,Very Good,1,0,1,0,Pass
Module 4,Course 4,Session-A,Student 116,Adequate,1.75,1,Low,No,No,No,No,Yes,Yes,3,High,0,Low,37.5,Fail,26,Fail,64,Adequate,76,Fair,51,Fair,1,0,0,0,Pass
Module 4,Course 4,Session-A,Student 117,Adequate,1.75,1,Low,No,No,No,No,No,No,2,Medium,0,Low,37.75,Fail,26,Fail,64,Adequate,233,Very Good,16,Poor,2,0,0,1,Fail
Module 4,Course 4,Session-A,Student 118,Adequate,1.75,1,Low,No,No,Yes,No,No,No,3,High,0,Low,30.5,Fail,33,Fail,64,Adequate,107,Good,183,Good,1,0,1,0,Fail
Module 4,Course 4,Session-A,Student 119,Excellent,3.75,1,Low,No,No,No,No,No,No,3,High,0,Low,38.09,Fail,26,Fail,64,Adequate,167,Good,178,Good,1,0,1,0,Pass
Module 4,Course 4,Session-A,Student 120,Fair,2.25,1,Low,No,No,No,No,No,No,3,High,0,Low,39.5,Fail,23,Fail,63,Adequate,184,Good,87,Fair,1,0,0,0,Pass
Module 4,Course 4,Session-A,Student 121,Fair,2.25,1,Low,No,No,No,No,Yes,No,2,Medium,0,Low,33.5,Fail,29.5,Fail,63,Adequate,260,Very Good,136,Good,1,0,1,0,Pass
Module 4,Course 4,Session-A,Student 122,Fair,2.25,1,Low,No,No,No,No,No,No,2,Medium,0,Low,40.75,Fail,22.5,Fail,63,Adequate,14,Poor,293,Very Good,1,0,0,0,Pass
Module 4,Course 4,Session-A,Student 123,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,37,Fail,26,Fail,63,Adequate,352,Excellent,314,Excellent,1,0,0,0,Pass
Module 4,Course 4,Session-A,Student 124,Adequate,2,1,Low,No,No,No,No,No,No,2,Medium,0,Low,40.08,Fail,23,Fail,63,Adequate,233,Very Good,248,Very Good,3,1,2,2,Pass
Module 3,Course 3,Session-B,Student 125,Adequate,2,1,Low,No,No,No,No,No,No,3,High,1,Low,74,Good,67.45,Fair,65.5,Adequate,186,Good,112,Good,1,0,0,0,Fail
Module 3,Course 3,Session-B,Student 126,Good,2.75,1,Low,No,No,No,Yes,No,No,3,High,0,Low,67,Fair,69,Fair,59.5,Adequate,166,Good,184,Good,2,2,1,1,Pass
Module 3,Course 3,Session-B,Student 127,Fair,2.25,1,Low,No,No,No,Yes,No,No,2,Medium,0,Low,72,Fair,83,Very Good,87.5,Excellent,256,Very Good,214,Very Good,3,1,1,2,Fail
Module 3,Course 3,Session-B,Student 128,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,79,Good,64,Adequate,64,Adequate,223,Very Good,180,Good,8,13,0,7,Pass
Module 3,Course 3,Session-B,Student 129,Adequate,2,1,Low,No,No,No,No,Yes,No,3,High,0,Low,77,Good,70,Fair,71.5,Fair,316,Excellent,188,Good,5,3,0,4,Pass
Module 3,Course 3,Session-B,Student 130,Good,3,1,Low,No,No,No,No,No,No,3,High,0,Low,31,Fail,56.05,Adequate,76,Good,96,Fair,191,Good,5,7,1,4,Pass
Module 3,Course 3,Session-B,Student 131,Good,3,1,Low,No,No,No,No,No,No,3,High,0,Low,69,Fair,89,Excellent,75,Good,386,Excellent,234,Very Good,1,7,2,0,Fail
Module 3,Course 3,Session-B,Student 132,Adequate,1.75,1,Low,No,No,No,No,Yes,No,2,Medium,0,Low,70,Fair,83,Very Good,75.5,Good,212,Very Good,256,Very Good,1,1,0,0,Pass
Module 3,Course 3,Session-B,Student 133,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,76,Good,86,Very Good,60,Adequate,128,Good,160,Good,1,0,0,0,Fail
Module 3,Course 3,Session-B,Student 134,Fair,2.25,1,Low,No,No,No,No,No,No,3,High,0,Low,69,Fair,61,Adequate,66.5,Fair,229,Very Good,59,Fair,1,1,1,0,Pass
Module 3,Course 3,Session-B,Student 135,Fair,2.5,1,Low,No,No,No,No,No,No,4,Low,0,Low,85,Very Good,81.7,Very Good,56.5,Adequate,189,Good,301,Excellent,6,7,0,5,Pass
